index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
65,66,0.05663331729494549,6.53743829939631e-07,10.576836113920358,1.3087904324085433e-10,2.798969880635945e-10,7.390510945819622e-10,5.649005076866069e-09,9.886717508987448e-09,12.505108736795343,14.297412592693338,0.002049858623112825,0.0023454391559785035,0.1495852546359832,0.021342484338374417,7.007703958510889e-05,0.0,0.0010685935781515644,
66,67,0.05655831483124969,6.522166594140468e-07,10.579112381149873,2.2123906154983147e-10,1.0719053846745446e-09,8.600629189536418e-10,5.466229306357977e-09,9.912261105825489e-09,12.494157369546144,14.304889186269309,0.0020451081443346275,0.002304725146629386,0.14947007624971617,0.021313760601027902,6.880659046702485e-05,0.0,0.0010690704659812138,
67,68,0.05643214787187044,6.497037874044889e-07,10.580890600123368,2.076023992464708e-10,1.926853834126362e-09,6.212269268660639e-10,5.092252581899333e-09,9.932801205275864e-09,12.508166712825453,14.309445971835746,0.0020395910920078903,0.002231795263467771,0.14948723397447009,0.021288184484695993,6.814431605138987e-05,0.0,0.0010882940090653503,
68,69,0.056243988739048685,6.460092905014617e-07,10.583895712881887,3.2236799895580553e-10,3.2253508950913218e-09,2.1995226482918323e-10,3.990982019288213e-09,9.96809160206453e-09,12.504595784299799,14.315584263053779,0.0020315744941303156,0.0019965648752327224,0.14939144562051734,0.02126786998502927,7.117355577807203e-05,0.0,0.0010775814321542655,
69,70,0.05602324634035247,6.381982411546819e-07,10.58888318731512,4.1374428568593476e-11,4.503449675098735e-09,0.0,5.650533921912e-09,1.0026894573855281e-08,12.534361544354573,14.322491827753971,0.002015242057600624,0.0023567014122476346,0.1497631342872841,0.02124598841959277,7.567131005770344e-05,0.0,0.0010995201324766417,
70,71,0.05568559415232189,6.326856629379874e-07,10.594819642431435,1.6318788678230308e-10,5.540246694146043e-09,0.0,2.628821358616522e-09,1.0100250971735143e-08,12.597428909875012,14.32888772690037,0.0020016229009752733,0.001644054142134051,0.1495750905524709,0.021272503358239075,8.27236402160449e-05,0.0,0.0010299458994590556,
71,72,0.055480516470554145,6.262902463170692e-07,10.604547920726295,5.26760021288752e-12,7.933739304168452e-09,0.0,6.351980932202049e-10,1.0220293097410886e-08,12.498271242210558,14.340452894789184,0.001988335738153505,0.0009084782399158078,0.1499179880875421,0.021300422978054755,8.621994569196771e-05,0.0,0.0010636568149756532,
72,73,0.055153987104397256,6.201487559247378e-07,10.61041267807735,2.6751435318774477e-12,7.577279539125217e-09,0.0,1.56276357146677e-10,1.0301417524567403e-08,12.464157764765032,14.34580364679974,0.0019726360167060058,0.0006000332413738137,0.14995442462841596,0.021411833711951725,7.868011557614144e-05,0.0,0.0010460320122286277,
73,74,0.05616471633752728,6.274568613225559e-07,10.621936943773047,3.087765972024009e-12,4.354493318786774e-09,0.0,1.4116308128922427e-08,1.0439786652422322e-08,12.606083730702379,14.346572507844765,0.0019646589840142258,0.0036754544900082426,0.14993507859344396,0.021525485071287504,8.816298178233628e-05,0.0,0.0009390745889832688,
74,75,0.05505644817251877,6.187341468212646e-07,10.613339783505152,0.0,6.348416903724417e-09,0.0,3.9964635010880174e-10,1.0336550121362392e-08,12.499585974758537,14.345000499576344,0.001965770943290237,0.0007501822550331022,0.15008494230201036,0.021436609992695255,8.10694550624863e-05,0.0,0.0010182056193756117,
75,76,0.05491072830310256,6.16933126336507e-07,10.616938513447922,0.0,4.840704616460781e-09,0.0,3.2812043948445424e-11,1.0377589505439346e-08,12.510438187770479,14.342119036716575,0.00196086605807466,0.00042961055125368504,0.15003171899807943,0.02142552112462621,8.74755291709518e-05,0.0,0.001001240261648882,
